username,tweet_text,date,happy,angry,surprise,sad,fear,afinn,bing,sid,bertweet,bertweet_confidence
GandalfWizz,call for action mmtlp important  anyone with scotiabankitrade canada please comment below i need enough people to contribute on a voluntary basis this is going to get fun very quick,aug 2 2023  423 pm utc,0.5,0.25,0.0,0.0,0.25,7,3,0.7506,1,0.9433124661445618
HalifaxCinema,opening a pair of drama instructors are forced to stage the production of their lifetimes in the sundancefestbreakout comedy theatre camp  directed by molly gordon and nick lieberman starts friday exclusive to scotiabank,aug 3 2023  331 pm utc,0.0,0.0,0.0,0.0,1.0,2,0,0.0,0,0.9457026720046997
Ruggerooo8,mmtlp  gandalf calls for aide will you answer and hes out of dms for 24 hours  sooooo until i run out of messages dm me if you have an account with scotiabankitrade canada and you havent reached out to gandalf yet dm me and ill get him what he needs,aug 3 2023  309 pm utc,0.0,0.0,0.0,0.0,1.0,-1,0,-0.476,0,0.9623236656188965
GandalfWizz,activists in vancouver canada demonstrated outside scotiabank denouncing its sponsorship in elbit systems which makes it an accomplice in the israeli war crimes,aug 2 2023  423 pm utc,0.0,0.0,0.0,0.5,0.5,-2,0,-0.5994,-1,0.9154285192489624
OnlinePalEng,scotiabank arena is much more than a name on a building  scotiasocialmeguenn,jul 23 2023  1001 am utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,0,0.912045419216156
amoralesan,10 chicken curry roti lunch special at wicked carib at vic park and sheppard   formerly leelas roti same owners they just rebranded after they opened a stall at the scotiabank arena,aug 2 2023  247 pm utc,0.0,0.0,0.25,0.0,0.75,-4,-2,-0.3612,0,0.9383707046508789
karonliu,canadian auto sales to remain at 2 million units in 2018 as global sales climb to record highs says scotiabank economics read the report for more details  scotiasocialmewvf4g,aug 3 2023  322 pm utc,0.0,0.0,0.0,0.0,1.0,0,0,0.0,1,0.7068151235580444
SeanMoor,headline canadian cpi reflects minimumwage passthrough effects in key service sectors but core inflation remains stable scotiabank economics looks at the details  scotiasocialmec4pcc,aug 3 2023  322 pm utc,0.0,0.0,0.33,0.67,0.0,2,1,0.4215,0,0.9217826128005981
SeanMoor,on nationalstudentathleteday scotiabank is saluting all the hardworking kids out there who balance school with their favourite game,aug 3 2023  322 pm utc,0.75,0.0,0.0,0.0,0.25,0,0,0.0,1,0.983791708946228
SeanMoor,scotiabank renews support for the centre for nonprofit excellence at the okanagan school of business with a donation of 100000 providing student researchers the opportunity to help organizations improve capacity and achieve more sustainable operations infinitepotential,aug 3 2023  321 pm utc,0.5,0.0,0.0,0.0,0.5,11,4,0.9349,1,0.9563521146774292
